idx,vertex_name,adjacencies
0,Rose Atrium,"1,2,3,4,5,6,7,8,163,20"
1,Elevator MD,0
2,121 P,0
3,Storage Closet ,0
4,Girls Bathroom 1R,0
5,Boys Bathroom 1R,0
6,103P,0
7,9 Square Exit from Atrium ,0
8,Rose Hallway 1,"0,11,12,13,14,15,16,17,18,20,9,10"
9,R Stairs A,"8,63"
10,104R,8
11,105R,8
12,106R,8
13,107R,8
14,108R,8
15,109R,8
16,110R,8
17,111R,8
18,R Stairs B ,"8,63,93"
19,Stairway from P to Fisher,"22,67,90"
20,Spence Exit 1 from R,"0,8,165"
21,MD Floor 2 Crossway ,"22,44,45,64"
22,P Hallway 2,"19,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,54"
23,220P,22
24,221P,22
25,222P,22
26,223P,22
27,224P,22
28,225P,22
29,226P,22
30,227P,22
31,228P,22
32,229P,22
33,230P,22
34,231P,22
35,232P,22
36,233P,22
37,234P,22
38,235P,22
39,236P,22
40,237P,22
41,238P,22
42,239P,22
43,240P,22
44,Girls Bathroom 2R,21
45,Rose Hallway 2,"21,46,47,48,49,50,51,52,53"
46,204R,45
47,205R,45
48,206R,45
49,207R,45
50,208R,45
51,209R,45
52,210R,45
53,211R,45
54,Spence Exit 2 from R,"22,159"
55,310R,63
56,311R,63
57,309R,63
58,308R,63
59,307R,63
60,306R,63
61,305R,63
62,304R,63
63,Rose Hallway 3,"9,18,55,56,57,58,59,60,61,62,64"
64,MD Floor 3 Walkway,"21,63,65,66,67,462"
65,Boys Bathroom 3R,64
66,Girls Bathroom 3R,64
67,P Hallway 3,"19,64,68,69,70,71,72,73,74,75,76,77,78,80,82,83,84,85,86,87,88,89"
68,340P,67
69,339P,67
70,338P,67
71,337P,67
72,336P,67
73,335P,67
74,334P,67
75,333P,67
76,332P,67
77,331P,67
78,330P,67
79,329P,89
80,328P,67
81,327P,89
82,326P,67
83,325P,67
84,324P,67
85,323P,67
86,322P,67
87,321P,67
88,320P,67
89,MD Entrance Room ,"67,79,81,154"
90,P Hallway 4 ,"19,462,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114"
91,Boys Bathroom 4R,462
92,Girls Bathroom 4R,462
